Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,SM420561N,7SegmentLED_LTS6760_LTS6780,124.46,-121.92,180,top
D1,SM420561N,7SegmentLED_LTS6760_LTS6780,48.26,-172.72,180,top
D1,SM420561N,7SegmentLED_LTS6760_LTS6780,48.26,-121.92,180,top
D1,SM420561N,7SegmentLED_LTS6760_LTS6780,48.26,-71.12,180,top
D1,SM420561N,7SegmentLED_LTS6760_LTS6780,124.46,-71.12,180,top
D1,SM420561N,7SegmentLED_LTS6760_LTS6780,124.46,-172.72,180,top
D2,LED_RGB,LED_RGB_5050-6,111.76,-139.7,180,top
D2,LED_RGB,LED_RGB_5050-6,35.56,-38.1,180,top
D2,LED_RGB,LED_RGB_5050-6,35.56,-139.7,180,top
D2,LED_RGB,LED_RGB_5050-6,35.56,-88.9,180,top
D2,LED_RGB,LED_RGB_5050-6,111.76,-88.9,180,top
D2,LED_RGB,LED_RGB_5050-6,111.76,-38.1,180,top
J1,Conn_01x15_Female,PinSocket_1x15_P2.54mm_Vertical,153.67,-120.65,180,top
J1,Conn_01x15_Female,PinSocket_1x15_P2.54mm_Vertical,153.67,-171.45,180,top
J1,Conn_01x15_Female,PinSocket_1x15_P2.54mm_Vertical,77.47,-69.85,180,top
J1,Conn_01x15_Female,PinSocket_1x15_P2.54mm_Vertical,153.67,-69.85,180,top
J1,Conn_01x15_Female,PinSocket_1x15_P2.54mm_Vertical,77.47,-120.65,180,top
J1,Conn_01x15_Female,PinSocket_1x15_P2.54mm_Vertical,77.47,-171.45,180,top
J2,Conn_01x15_Female,PinSocket_1x15_P2.54mm_Vertical,130.81,-69.85,180,top
J2,Conn_01x15_Female,PinSocket_1x15_P2.54mm_Vertical,54.61,-120.65,180,top
J2,Conn_01x15_Female,PinSocket_1x15_P2.54mm_Vertical,54.61,-69.85,180,top
J2,Conn_01x15_Female,PinSocket_1x15_P2.54mm_Vertical,130.81,-120.65,180,top
J2,Conn_01x15_Female,PinSocket_1x15_P2.54mm_Vertical,130.81,-171.45,180,top
J2,Conn_01x15_Female,PinSocket_1x15_P2.54mm_Vertical,54.61,-171.45,180,top
R1,330,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,107.95,-52.07,-90,top
R1,330,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,107.95,-153.67,-90,top
R1,330,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,31.75,-102.87,-90,top
R1,330,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,31.75,-52.07,-90,top
R1,330,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,107.95,-102.87,-90,top
R1,330,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,31.75,-153.67,-90,top
R2,330,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,110.49,-153.67,-90,top
R2,330,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,34.29,-52.07,-90,top
R2,330,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,110.49,-52.07,-90,top
