Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,SM420561N,7SegmentLED_LTS6760_LTS6780,176.53,-65.405,90,top
D2,LED_RGB,LED_RGB_5050-6,170.815,-37.465,0,top
J1,Conn_01x15_Female,PinSocket_1x15_P2.54mm_Vertical,213.36,-51.435,90,top
J2,Conn_01x15_Female,PinSocket_1x15_P2.54mm_Vertical,190.5,-51.435,90,top
R1,330,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,167.64,-51.435,-90,top
R2,330,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,170.18,-51.435,-90,top
R3,330,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,172.72,-51.435,-90,top
R4,330,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,175.26,-51.435,-90,top
R5,330,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,177.8,-51.435,-90,top
R6,330,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,180.34,-51.435,-90,top
R7,330,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,182.88,-51.435,-90,top
R8,330,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,185.42,-51.435,-90,top
R9,330,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,180.975,-37.465,180,top
R10,330,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,180.975,-33.655,180,top
R11,330,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,180.975,-41.275,180,top
R12,1k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,198.755,-57.15,-90,top
R13,1k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,201.93,-53.975,-90,top
R14,1k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,205.105,-57.15,-90,top
R15,1k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,195.58,-48.895,-90,top
SW1,SW_Push,SW_Push_1P1T_NO_6x6mm_H9.5mm,232.41,-64.135,90,top
SW2,SW_Push,SW_Push_1P1T_NO_6x6mm_H9.5mm,232.41,-51.435,90,top
SW3,SW_Push,SW_Push_1P1T_NO_6x6mm_H9.5mm,232.41,-39.37,90,top
U1,MCP9700AT-ETT,SOT-23,201.104,-71.755,90,top
